آ,10
آؤ,1010
آؤں,1010
آئبس,10110
آئتا,10110
آئتی,10110
آئتے,10110
آئڈیالوجی,1010101010
آئڈیل,101010
آئڈیلسٹ,101010
آئرس,10110
آئرستانی,101101010
آئرش,10110
آئرن,10110
آئزل,10110
آئس,1010
آئسگی,101110
آئسنگ,101101
آئسہ,10110
آئسیس,101101
آئسے,10110
آئفونزگی,101110110
آئفونزہ,10110110
آئفونزے,10110110
آئل,1010
آئن,1010
آئند,10101
آئندگان,10101101
آئندگی,10101
آئندگی,1010110
آئندہ,10101
آئندہ,101010
آئندے,10101
آئندے,101010
آئنگی,101110
آئنہ,10110
آئنے,10110
آئی,1010
آئیاں,10110
آئیڈیل,1010110
آئیڈیلزم,101011101
آئیس,10101
آئین,10101
آئینتی,1010110
آئینگی,1010110
آئینہ,101010
آئینی,101010
آئینیت,1010110
آئینے,101010
آئیں,101
آئیں,1010
آئیوڈین,10110101
آئیون,101101
آئیے,10110
آئے,101
آئے,1010
آب,101
آبا,1010
آبائیت,1010110
آباد,10101
آبادان,1010101
آبادانی,10101010
آبادگاں,1010110
آبادی,101010
آبار,10101
آبان,10101
آباہن,101010
آبدار,101101
آبدارو,1011010
آبدگی,101110
آبدہ,10110
آبدے,10110
آبرو,10110
آبروئی,1011010
آبرون,101101
آبریز,101101
آبزرور,1011010
آبزن,10110
آبست,10101
آبستاں,101010
آبستگی,1010110
آبستن,101010
آبستنی,1010110
آبستہ,101010
آبستے,101010
آبسیر,101101
آبسیری,1011010
آبشار,101101
آبشنگ,101101
آبق,1010
آبکامگی,10111010
آبکامہ,1011010
آبکامے,1011010
آبگینگی,10111010
آبگینہ,1011010
آبگینے,1011010
آبلئی,101010
آبلگی,101110
آبلہ,10110
آبلوج,101101
آبلوس,101101
آبلوک,101101
آبلے,10110
آبناے,101010
آبنوس,101101
آبنوسی,1011010
آبھا,1010
آبھاس,10101
آبھال,10101
آبھرن,10110
آبھوشن,101010
آبھی,1010
آبھیر,10101
آبھیری,101010
آبھے,1010
آبو,1010
آبولے,101010
آبی,1010
آبیات,101101
آبیاتی,1011010
آبیانگی,10111010
آبیانہ,1011010
آبیانے,1011010
آبیدگی,1010110
آبیدہ,101010
آبیدے,101010
آبیل,10101
آبے,1010
آپ,101
آپا,1010
آپات,10101
آپار,10101
آپاڑ,10101
آپت,1010
آپتا,10110
آپتی,10110
آپتے,10110
آپٹا,10110
آپٹی,10110
آپٹے,10110
آپدا,10110
آپدی,10110
آپدے,10110
آپرا,10110
آپری,10110
آپریٹر,1011010
آپریشن,1011010
آپرے,10110
آپس,1010
آپستا,1011010
آپستی,1011010
آپستے,1011010
آپسرا,101010
آپسری,101010
آپسرے,101010
آپسی,10110
آپل,1010
آپم,1010
آپن,1010
آپنا,10110
آپناں,10110
آپنی,10110
آپنیں,10110
آپنے,10110
آپھر,1010
آپھی,1010
آپوں,1010
آپی,1010
آپیں,1010
آپے,1010
آت,101
آتا,1010
آتر,1010
آتش,1010
آتشک,10110
آتشکدگی,10101110
آتشکدہ,1010110
آتشکدے,1010110
آتشکیا,1011010
آتشکیی,1011010
آتشکیے,1011010
آتشی,10110
آتشیں,10110
آتم,1010
آتما,10110
